tablename,rls_enabled,policyname,operation,using_expression,with_check
client_reference_documents,true,rls_merged_authenticated_update,UPDATE,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = client_reference_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))","(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = client_reference_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))"
client_reference_documents,true,rls_merged_authenticated_delete,DELETE,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = client_reference_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))",null
client_reference_documents,true,rls_merged_authenticated_insert,INSERT,null,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = client_reference_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin() AND ((uploaded_by = ( SELECT auth.uid() AS uid)) OR (uploaded_by IS NULL))) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id) AND ((uploaded_by = ( SELECT auth.uid() AS uid)) OR (uploaded_by IS NULL))))"
client_reference_documents,true,rls_merged_authenticated_select,SELECT,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = client_reference_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))",null
design_inputs_documents,true,rls_merged_authenticated_update,UPDATE,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = design_inputs_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))","(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = design_inputs_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))"
design_inputs_documents,true,rls_merged_authenticated_select,SELECT,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = design_inputs_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))",null
design_inputs_documents,true,rls_merged_authenticated_insert,INSERT,null,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = design_inputs_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin() AND ((uploaded_by = ( SELECT auth.uid() AS uid)) OR (uploaded_by IS NULL))) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id) AND ((uploaded_by = ( SELECT auth.uid() AS uid)) OR (uploaded_by IS NULL))))"
design_inputs_documents,true,rls_merged_authenticated_delete,DELETE,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = design_inputs_documents.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))",null
equipment,true,rls_merged_authenticated_delete,DELETE,"(((project_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = equipment.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))",null
equipment,true,rls_merged_authenticated_update,UPDATE,"(((project_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = equipment.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))","(((project_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = equipment.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))"
equipment,true,rls_merged_authenticated_select,SELECT,"(((EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = equipment.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))",null
equipment,true,rls_merged_authenticated_insert,INSERT,null,"(((project_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM projects p
  WHERE ((p.id = equipment.project_id) AND (p.firm_id = get_user_firm_id())))) AND is_firm_admin()) OR is_super_admin() OR ((project_id IS NOT NULL) AND is_assigned_to_project(project_id)))"
equipment_activities,true,Anon can manage equipment_activities,ALL,(( SELECT auth.uid() AS uid) IS NULL),(( SELECT auth.uid() AS uid) IS NULL)
equipment_activities,true,Authenticated can manage equipment_activities,ALL,(( SELECT auth.uid() AS uid) IS NOT NULL),(( SELECT auth.uid() AS uid) IS NOT NULL)
equipment_activity_completion_images,true,rls_auth_all,ALL,"(EXISTS ( SELECT 1
   FROM (((equipment_activity_completions c
     JOIN equipment_activities a ON ((a.id = c.activity_id)))
     JOIN equipment e ON ((e.id = a.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_activity_completion_images.completion_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((c.department IS NULL) OR (tp.department = c.department))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((c.department IS NULL) OR (pm.department = c.department)))))))))","(EXISTS ( SELECT 1
   FROM (((equipment_activity_completions c
     JOIN equipment_activities a ON ((a.id = c.activity_id)))
     JOIN equipment e ON ((e.id = a.equipment_id)))
     JOIN projects p ON ((p.id = e.project_id)))
  WHERE ((c.id = equipment_activity_completion_images.completion_id) AND (p.firm_id = get_user_firm_id()) AND ((EXISTS ( SELECT 1
           FROM users urole
          WHERE ((urole.id = auth.uid()) AND (urole.is_active = true) AND ((urole.role)::text = ANY ((ARRAY['firm_admin'::character varying, 'project_manager'::character varying, 'vdcr_manager'::character varying])::text[]))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN equipment_team_positions tp ON ((lower(TRIM(BOTH FROM tp.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (tp.equipment_id = e.id) AND ((c.department IS NULL) OR (tp.department = c.department))))) OR (EXISTS ( SELECT 1
           FROM (users u
             JOIN project_members pm ON ((lower(TRIM(BOTH FROM pm.email)) = lower(TRIM(BOTH FROM u.email)))))
          WHERE ((u.id = auth.uid()) AND (pm.project_id = p.id) AND ((c.department IS NULL) OR (pm.department = c.department)))))))))"
